neu_words,neu_counts,pos_words,pos_counts,neg_words,neg_counts
climate,7554,climate,8330,climate,2098
change,7502,change,8261,change,2080
president,1853,say,1980,say,487
say,1816,president,1840,go,415
go,1330,think,1522,president,392
trump,1132,go,1409,think,296
think,1063,issue,1277,people,273
issue,942,trump,1176,trump,258
talk,831,get,1021,get,245
people,779,people,1015,talk,239
get,776,make,973,issue,221
believe,719,talk,927,one,208
know,654,want,868,like,194
make,654,one,850,know,191
come,647,right,843,make,177
one,645,know,831,would,170
like,614,believe,813,world,167
obama,610,like,799,take,165
paris,587,come,684,come,155
take,580,world,679,see,146
want,572,take,643,believe,143
global,564,see,628,want,141
state,547,real,621,state,131
world,543,would,606,obama,130
see,537,state,581,paris,126
would,501,obama,575,look,120
back,479,time,554,deal,112
deal,440,good,543,call,110
time,436,paris,537,global,109
look,435,look,527,us,108
question,404,new,526,time,108
new,402,us,525,mean,107
big,392,many,502,hoax,106
us,382,deal,481,today,102
house,375,much,468,bad,99
lot,375,first,458,question,98
today,372,important,456,way,97
agreement,366,pope,450,science,96
also,356,energy,449,well,95
hoax,349,really,449,serious,95
right,347,also,439,need,94
donald,332,lot,437,lot,94
well,327,well,425,donald,92
something,327,work,417,cause,90
white,325,things,405,things,90
fight,323,donald,401,wrong,88
things,323,need,400,years,87
unite,322,today,398,country,87
science,320,global,387,threat,87
happen,316,question,384,work,84
call,314,country,383,also,84
work,308,clean,380,pope,83
warm,306,let,376,happen,83
last,306,back,374,warm,82
real,305,unite,371,agreement,81
pope,298,way,370,tell,78
could,296,something,364,even,78
whether,290,thank,359,problem,76
next,288,fight,354,unite,75
meet,286,agreement,344,something,75
need,285,interest,337,clinton,72
administration,282,job,331,could,72
let,279,hoax,327,china,69
way,269,great,322,try,68
years,262,even,315,security,68
really,259,clinton,312,house,67
country,257,threat,309,impact,66
clinton,256,happen,308,real,65
try,255,could,308,let,63
tell,250,america,301,use,63
hear,248,hear,298,right,63
energy,247,whether,295,base,63
ask,242,call,293,hear,62
american,241,thing,290,administration,62
security,240,science,289,effect,62
even,238,ask,285,fight,62
job,238,care,275,planet,62
human,229,give,274,energy,61
give,229,put,267,whether,61
address,222,house,265,fact,60
threat,220,administration,261,back,60
put,218,two,257,leave,60
much,217,years,255,campaign,59
two,217,tell,254,around,59
national,215,address,253,put,59
leave,215,part,253,point,58
epa,214,meet,251,ask,58
campaign,214,sure,248,thing,57
still,212,warm,248,care,57
cause,212,try,242,america,56
around,211,around,241,big,56
week,209,point,241,past,56
thing,207,security,240,reporter,55
debate,203,live,240,give,55
reporter,202,kind,240,worst,53
america,201,still,239,party,53
gore,200,fact,237,seem,53
lead,199,white,237,hard,52
care,199,reporter,236,already,52
part,198,big,231,vote,52
first,197,national,230,white,52
speak,196,debate,229,two,51
accord,196,plan,228,meet,51
focus,194,last,226,national,51
action,194,top,221,sanders,50
policy,189,american,217,every,50
move,189,leave,217,still,50
plan,188,hillary,214,address,49
use,188,start,214,poor,49
actually,187,campaign,211,really,49
problem,186,immigration,210,live,49
year,185,concern,208,course,48
leaders,184,scientists,205,day,47
republican,182,economy,205,behind,47
china,182,planet,205,view,47
point,181,next,204,decision,46
immigration,180,gore,204,worse,46
political,178,face,201,little,45
live,178,trade,200,job,45
mean,172,al,199,economy,45
thank,169,move,197,help,45
help,168,epa,197,gore,45
hillary,168,combat,195,immigration,44
start,168,lead,192,agree,44
al,167,speak,192,leaders,44
view,166,focus,191,weather,44
countries,166,republican,190,epa,44
scientists,166,together,190,bring,44
answer,165,leaders,189,continue,44
concern,163,problem,189,fuel,44
impact,163,policy,188,much,44
chinese,157,help,188,republican,43
environmental,156,show,188,concern,43
show,156,action,186,next,43
may,154,bring,185,plan,43
different,152,day,184,part,43
republicans,152,cause,182,hillary,43
sanders,152,countries,182,isis,43
planet,151,agree,182,money,43
bring,151,republicans,182,environment,42
day,150,sanders,176,expect,42
another,149,report,175,scientists,42
head,149,accord,175,run,41
report,149,impact,175,debate,41
party,149,use,175,republicans,41
health,149,china,173,affect,41
trade,148,power,169,find,41
international,146,do,167,face,41
course,145,may,166,american,41
environment,144,york,165,human,40
position,144,join,163,join,40
secretary,144,water,162,show,40
every,143,party,162,understand,40
major,141,view,162,problems,40
former,141,number,160,lead,40
fact,141,support,159,military,40
seem,140,democrats,159,week,40
bill,140,secretary,156,idea,39
sign,138,week,156,combat,39
summit,137,find,156,news,39
number,136,every,155,year,39
end,136,year,155,least,39
man,136,position,154,ca,39
combat,134,better,154,guy,38
deny,133,challenge,154,countries,38
government,132,clear,153,start,38
understand,132,environment,153,bill,38
keep,132,understand,153,rise,38
already,131,americans,152,al,38
include,131,continue,151,emissions,37
continue,131,man,150,move,37
carbon,129,economic,149,word,37
agree,129,another,149,head,37
future,128,government,149,side,37
join,126,best,149,dangerous,37
run,126,actually,148,senator,37
ca,125,effect,148,democrats,36
open,125,term,147,carbon,36
conference,125,rise,146,away,36
term,124,course,146,devastate,36
expect,123,political,146,last,36
emissions,122,carbon,145,storm,36
find,122,able,145,fossil,36
pruitt,122,vote,144,everything,35
protect,121,environmental,144,oil,35
stand,121,create,143,nuclear,35
create,120,stand,143,bernie,35
activity,120,mean,141,difficult,35
general,120,bernie,140,new,35
vote,119,answer,139,deny,35
money,119,health,139,play,34
ago,119,terrorism,139,stand,34
place,119,human,138,listen,34
support,119,include,137,stop,34
speech,118,end,137,company,34
effect,118,congress,137,speak,34
democrats,118,feel,136,another,34
congress,117,future,136,may,33
rise,116,tax,135,green,33
decision,116,seem,135,position,33
face,115,morning,135,number,33
bernie,115,fuel,134,together,33
level,114,ca,134,level,33
pull,114,money,131,seriously,33
away,113,protect,131,answer,33
tweet,113,summit,129,sign,32
war,112,message,129,secretary,32
set,112,place,128,policy,32
public,112,news,128,report,32
power,112,biggest,128,reality,32
economy,112,air,128,support,32
biggest,112,guy,126,cold,32
together,111,deny,125,environmental,31
break,111,break,124,thank,31
washington,110,senator,122,biggest,31
order,110,yes,121,term,31
word,110,example,121,act,31
weather,109,play,121,keep,30
step,109,level,120,coal,30
news,108,agenda,120,create,30
alaska,108,matter,120,system,30
do,106,washington,119,maybe,30
senator,106,welcome,119,focus,30
fuel,105,leader,118,water,29
listen,105,business,118,crisis,29
feel,105,ahead,118,break,29
message,105,run,117,keystone,29
attack,105,become,117,crazy,29
york,105,keep,115,justice,29
ahead,104,sign,115,tough,29
francis,104,maybe,115,accord,29
maybe,104,record,115,international,29
agency,104,stop,115,scientific,29
far,103,isis,114,contribute,28
guy,103,greatest,114,leadership,28
department,103,decision,113,cut,28
push,103,far,113,protect,28
important,102,free,113,agenda,28
policies,102,love,113,since,28
governor,102,pruitt,113,california,28
leadership,102,role,112,rest,28
side,101,francis,111,end,28
clear,100,might,111,women,28
storm,100,certainly,111,trade,28
spend,100,already,111,fund,28
russia,100,speech,110,attack,28
matter,99,reason,110,activity,27
little,98,raise,110,role,27
record,98,strong,110,oppose,27
terrorism,98,tonight,110,yeah,27
past,98,build,109,do,27
sort,98,pull,109,step,27
mention,97,discuss,108,india,27
gas,96,russia,108,pull,27
agenda,96,step,108,movement,27
hard,96,chinese,108,chinese,27
since,96,system,107,denier,27
study,96,different,107,never,26
tonight,95,okay,106,conference,26
night,95,emissions,106,pipeline,26
election,95,word,106,criminal,26
build,93,push,106,government,26
stay,91,forward,106,less,26
mind,91,huge,105,nations,26
regulations,91,always,105,nothing,26
isis,90,side,105,foreign,26
nations,90,bill,105,almost,26
name,90,win,105,actually,26
everything,90,women,105,skeptical,26
water,89,nations,104,common,25
raise,89,major,104,sea,25
might,89,head,104,reform,25
interest,89,ago,103,man,25
long,88,listen,103,summit,25
become,88,true,103,terror,25
sea,88,sort,102,health,25
play,88,never,102,blame,25
iran,87,international,102,air,25
reason,87,alaska,101,tweet,25
quote,86,mind,101,read,24
discuss,86,stay,100,former,24
tax,86,spend,100,increase,24
john,86,leadership,99,threats,24
three,86,pay,98,watch,24
coal,85,away,98,inequality,24
act,85,gun,98,hope,24
scott,84,fossil,97,anything,24
across,83,ever,97,tonight,24
later,83,act,97,include,24
march,83,democratic,96,order,24
yes,82,governor,96,place,24
company,82,everything,96,iran,24
couple,82,crisis,95,long,24
industry,82,voters,95,feel,24
women,82,policies,95,matter,24
yesterday,81,earth,95,evil,24
begin,81,since,94,flood,23
air,81,conference,94,scientist,23
nuclear,81,nation,94,destroy,23
least,81,significant,94,earth,23
middle,81,anything,94,record,23
crisis,80,whole,94,congress,23
fossil,80,florida,94,governor,23
cut,80,hold,93,challenge,23
anything,80,tweet,93,case,23
contribute,79,election,93,might,22
americans,79,public,92,days,22
economic,79,coal,92,democratic,22
leader,79,war,91,late,22
many,79,press,91,message,22
forward,79,set,91,gas,22
lose,79,yesterday,91,pay,22
reduce,78,mention,91,legislation,22
military,78,oil,91,war,22
enough,78,absolutely,90,mind,22
key,77,weather,90,political,22
earth,77,storm,90,fake,22
executive,77,sea,89,mention,22
role,77,affect,89,raise,22
challenge,76,inequality,88,without,22
earlier,76,politics,88,francis,21
denier,76,moment,87,violent,21
worry,75,former,87,first,21
days,75,pretty,87,group,21
hold,75,california,86,washington,21
yet,75,community,85,conversation,21
visit,75,scientist,85,study,21
wall,75,college,85,line,21
always,75,latest,84,future,21
democratic,75,watch,84,reason,21
business,75,gas,84,greg,21
florida,75,person,84,bite,20
sit,74,home,84,begin,20
home,74,turn,84,discuss,20
turn,74,life,84,north,20
conversation,74,candidate,83,worry,20
base,74,open,83,fail,20
group,73,children,83,someone,20
california,73,line,83,tax,20
good,73,presidential,82,vice,20
warn,72,across,82,department,20
morning,72,order,82,community,20
scientific,72,hope,82,candidate,20
affect,72,expect,81,wall,20
reality,72,exactly,81,mayor,20
bite,72,probably,81,russia,20
community,71,nuclear,81,pruitt,20
moment,71,obviously,81,grow,20
candidate,71,income,80,risk,20
fund,70,especially,80,efforts,19
watch,70,chris,80,kill,19
media,70,industry,80,life,19
inequality,70,saw,79,push,19
serious,70,john,79,across,19
green,70,scott,79,business,19
team,70,visit,79,information,19
oil,69,days,78,force,19
announce,69,problems,78,dramatic,19
almost,69,general,78,slow,19
case,69,conversation,78,alaska,19
someone,69,yeah,77,forward,19
tillerson,69,decide,76,claim,19
foreign,68,begin,76,different,19
federal,68,company,76,ahead,19
press,68,front,75,sort,19
life,68,city,75,night,19
roll,68,idea,75,extreme,19
never,67,story,75,program,19
remember,67,north,75,florida,19
trip,66,kid,75,scott,19
everybody,66,iran,75,die,19
millions,66,attack,74,hand,19
wo,66,cnn,73,media,19
politics,66,reality,73,constitute,19
discussion,66,march,73,pick,18
young,66,denier,73,grind,18
weeks,66,opportunity,72,promise,18
city,66,everybody,72,ever,18
gun,66,three,72,sit,18
whole,66,department,72,senate,18
without,65,weeks,71,hate,18
list,65,name,71,deniers,18
income,65,enough,70,comment,18
grind,65,coast,70,ability,18
control,65,humans,70,prepare,18
pay,65,activity,70,police,18
ever,65,almost,69,basically,18
obviously,65,poll,69,black,18
historic,65,special,69,hit,18
stop,65,hour,69,must,18
terror,65,high,69,politics,18
increase,64,save,69,example,18
relate,64,nothing,69,open,18
several,64,wall,69,stay,18
north,64,flood,68,data,18
officials,64,sound,68,nation,18
second,63,though,68,hurricane,18
center,63,history,68,morning,17
single,63,everyone,68,policies,17
program,63,happy,68,spend,17
saw,63,pick,68,income,17
promise,63,scientific,67,small,17
withdraw,63,fair,67,set,17
pipeline,62,marriage,67,defend,17
nothing,62,wage,67,poverty,17
massive,62,terror,67,tackle,17
risk,62,somebody,67,john,17
arctic,62,fund,67,couple,17
hope,62,senate,67,unless,17
voters,62,trip,67,industry,17
candidates,61,grow,67,afraid,17
possible,61,someone,67,gun,17
efforts,61,share,66,action,17
vice,61,among,66,reduce,17
clean,61,elect,66,york,17
keystone,60,worry,65,major,17
flood,60,bite,65,exist,17
claim,60,list,65,sorry,17
comment,60,reduce,65,respect,17
months,60,particularly,65,truth,17
force,60,young,65,disagree,17
office,60,candidates,64,involve,17
reform,60,office,64,millions,17
disagree,59,pollution,64,sure,17
presidential,59,media,64,name,17
cnn,59,perhaps,64,press,17
history,59,case,63,jam,17
idea,58,remember,63,quote,16
plus,58,long,62,terrorism,16
story,58,social,62,home,16
front,58,lose,62,power,16
senate,58,second,62,warn,16
acknowledge,58,disagree,62,yesterday,16
hurricane,57,arctic,62,form,16
line,57,risk,62,ago,16
less,57,night,62,disappoint,16
entire,57,comment,61,shoot,16
system,57,hand,61,fire,16
hour,57,vice,61,solve,16
reach,57,liberal,61,hold,16
chris,57,education,61,sense,16
though,57,little,60,acknowledge,16
folks,56,tackle,60,reach,16
poverty,56,evidence,60,invent,16
south,56,executive,60,remember,16
send,56,gay,59,officials,16
wage,56,follow,59,exxon,16
deniers,56,study,59,illegal,16
certainly,56,reach,59,write,16
absolutely,55,threats,59,oh,16
example,55,reform,58,always,16
rest,55,others,58,hurricanes,16
transition,54,ways,58,three,15
pollution,54,key,58,immediate,15
behind,54,yet,58,ukraine,15
justice,54,regulations,58,conservatives,15
event,54,else,58,become,15
wrong,54,europe,58,cnn,15
doubt,54,transform,58,burn,15
thousands,53,miami,58,response,15
kid,53,promise,58,refugees,15
likely,53,hurricane,58,speech,15
decide,52,powerful,57,middle,15
threaten,52,putin,57,visit,15
follow,52,contribute,57,subject,15
others,52,federal,57,public,15
generation,52,program,57,compare,15
longer,52,rest,57,later,15
especially,52,grind,56,send,15
read,52,poverty,56,everybody,15
protection,52,effort,56,europe,15
suggest,52,plus,56,shock,15
tomorrow,51,will,56,yet,15
events,51,cut,56,executive,15
greenhouse,51,control,56,wage,15
surprise,51,withdraw,56,enough,15
humans,51,tillerson,56,americans,15
grow,51,couple,55,either,15
social,51,group,55,heat,15
opinion,51,explain,55,shut,15
nation,51,learn,55,consequences,15
write,51,announce,55,presidential,15
everyone,51,accept,55,stance,15
cost,51,consider,55,key,15
person,51,syria,55,election,15
ivanka,51,minimum,54,plus,15
refuse,50,blame,54,evidence,15
save,50,without,54,note,15
among,50,battle,54,inconvenient,15
oppose,50,interview,54,interest,14
miami,50,century,54,none,14
syria,49,suggest,54,extremism,14
extreme,49,folks,54,liberal,14
college,49,release,53,develop,14
plant,49,sit,53,stuff,14
barack,49,close,53,threaten,14
consider,49,involve,53,arctic,14
temperatures,49,regard,53,sick,14
topic,49,generation,53,build,14
essentially,49,commit,53,children,14
attorney,49,read,53,despite,14
else,48,middle,53,humans,14
